benchmark,run,result
mat-mul,baseline,1990407
mat-mul,myopt,incorrect
sum-divisors,baseline,159
sum-divisors,myopt,incorrect
euclid,baseline,563
euclid,myopt,944
newton,baseline,217
newton,myopt,incorrect
riemann,baseline,298
riemann,myopt,incorrect
perfect,baseline,232
perfect,myopt,incorrect
mat-inv,baseline,1044
mat-inv,myopt,incorrect
digital-root,baseline,247
digital-root,myopt,396
collatz,baseline,169
collatz,myopt,261
binary-fmt,baseline,100
binary-fmt,myopt,incorrect
gcd,baseline,46
gcd,myopt,incorrect
n_root,baseline,733
n_root,myopt,incorrect
check-primes,baseline,8468
check-primes,myopt,16264
recfact,baseline,104
recfact,myopt,130
armstrong,baseline,133
armstrong,myopt,incorrect
sum-bits,baseline,73
sum-bits,myopt,incorrect
fib,baseline,121
fib,myopt,205
sqrt,baseline,322
sqrt,myopt,timeout
fizz-buzz,baseline,3652
fizz-buzz,myopt,7396
primes-between,baseline,574100
primes-between,myopt,incorrect
eight-queens,baseline,1006454
eight-queens,myopt,incorrect
binary-search,baseline,78
binary-search,myopt,incorrect
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,108279
cholesky,baseline,3761
cholesky,myopt,incorrect
catalan,baseline,659378
catalan,myopt,1141611
relative-primes,baseline,1923
relative-primes,myopt,incorrect
factors,baseline,72
factors,myopt,132
loopfact,baseline,116
loopfact,myopt,219
ray-sphere-intersection,baseline,142
ray-sphere-intersection,myopt,incorrect
bubblesort,baseline,253
bubblesort,myopt,incorrect
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,5673
adj2csr,baseline,56629
adj2csr,myopt,incorrect
adler32,baseline,6851
adler32,myopt,incorrect
sieve,baseline,3482
sieve,myopt,incorrect
orders,baseline,5352
orders,myopt,incorrect
up-arrow,baseline,252
up-arrow,myopt,incorrect
pow,baseline,36
pow,myopt,69
max-subarray,baseline,193
max-subarray,myopt,incorrect
quadratic,baseline,785
quadratic,myopt,incorrect
ackermann,baseline,1464231
ackermann,myopt,incorrect
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,incorrect
pascals-row,baseline,146
pascals-row,myopt,284
